bigram	frequency	relative frequency	mutual information
on a	29.0	0.0004263075882750713	0.001400611009756224
to do	29.0	0.0004263075882750713	-8.689512435418056e-05
. at	29.0	0.0004263075882750713	-0.0011704885461228298
. that	28.0	0.00041160732661041366	-0.0011509649347117073
up the	28.0	0.00041160732661041366	0.002349259397707241
and i	28.0	0.00041160732661041366	-0.00029499235527453364
the road	28.0	0.00041160732661041366	-0.0011998778081890424
his head	28.0	0.00041160732661041366	0.0006555922051688844
the church	28.0	0.00041160732661041366	-0.0011998778081890424
the door	27.0	0.000396907064945756	-0.001177849718960606
he thought	27.0	0.000396907064945756	4.1128419745323314e-05
, had	27.0	0.000396907064945756	-0.0011353946894921436
would have	27.0	0.000396907064945756	0.0017623329600659232
and his	27.0	0.000396907064945756	-0.0003052816036501868
the doctor	27.0	0.000396907064945756	-0.001177849718960606
of them	27.0	0.000396907064945756	-5.537804154203141e-05
across the	27.0	0.000396907064945756	0.004255291329978763
the old	27.0	0.000396907064945756	-0.001177849718960606
with his	27.0	0.000396907064945756	0.0011820516273389596
in her	27.0	0.000396907064945756	0.00038232508520059163
that was	26.0	0.0003822068032810984	0.0009309508514174973
. what	26.0	0.0003822068032810984	-0.0011096168719719479
i had	26.0	0.0003822068032810984	0.001055314719699036
to a	26.0	0.0003822068032810984	-0.0001381193214207451
have been	26.0	0.0003822068032810984	0.0022755481939894947
it would	26.0	0.0003822068032810984	0.000865454846760172
he knew	25.0	0.0003675065416164408	-2.722863492563262e-06
. now	25.0	0.0003675065416164408	-0.0010877341167954064
when the	25.0	0.0003675065416164408	0.002031928832018658
he felt	25.0	0.0003675065416164408	-2.722863492563262e-06
was in	25.0	0.0003675065416164408	0.00018963846833238264
and she	25.0	0.0003675065416164408	-0.0003234728851550727
she said	25.0	0.0003675065416164408	0.0011893417841958341
him to	25.0	0.0003675065416164408	0.0013024530967743451
of their	24.0	0.00035280627995178316	-0.0001091755334448026
to see	24.0	0.00035280627995178316	-0.00016823584573164477
about the	24.0	0.00035280627995178316	0.0020477885202809503
his own	24.0	0.00035280627995178316	0.00048347473299786213
going to	24.0	0.00035280627995178316	0.0033844237306973573
and that	24.0	0.00035280627995178316	-0.00033131203309649636
a man	24.0	0.00035280627995178316	-4.723707377196786e-05
, which	24.0	0.00035280627995178316	-0.00106919033162268
`` you	24.0	0.00035280627995178316	0.000608671690231284
he saw	24.0	0.00035280627995178316	-2.3392012300487295e-05
and ,	23.0	0.0003381060182871255	-0.00033826725872786336
have to	23.0	0.0003381060182871255	0.0019531815049750752
. watson	23.0	0.0003381060182871255	-0.0010413875918369702
, then	23.0	0.0003381060182871255	-0.0010454006281487894
she would	23.0	0.0003381060182871255	0.001053522237074971
was no	23.0	0.0003381060182871255	0.0001337951864805955
`` what	23.0	0.0003381060182871255	0.0005625504761279261
them ,	23.0	0.0003381060182871255	0.0019360156471072592
now ,	23.0	0.0003381060182871255	0.0022091356206025057
, not	23.0	0.0003381060182871255	-0.0010454006281487894
which he	23.0	0.0003381060182871255	0.0022552340112400944
want to	22.0	0.0003234057566224679	0.0033438649382789756
his face	22.0	0.0003234057566224679	0.0004025877620148907
who had	22.0	0.0003234057566224679	0.0022314189388740477
had not	22.0	0.0003234057566224679	0.0004847434383564798
when she	22.0	0.0003234057566224679	0.0017284534042079451
the first	22.0	0.0003234057566224679	-0.001055281534194909
tried to	22.0	0.0003234057566224679	0.003594195950198049
to take	22.0	0.0003234057566224679	-0.0001948136018204906
? he	22.0	0.0003234057566224679	0.0013697389498255614
, so	22.0	0.0003234057566224679	-0.0010206885472206063
the hall	22.0	0.0003234057566224679	-0.001055281534194909
but the	21.0	0.00030870549495781024	0.001240597125515805
the man	21.0	0.00030870549495781024	-0.0010280327127827088
again .	21.0	0.00030870549495781024	0.002527921330407223
, where	21.0	0.00030870549495781024	-0.0009950121343072385
me ,	21.0	0.00030870549495781024	0.0019298050105787227
thought of	21.0	0.00030870549495781024	0.00245466891437597
. this	21.0	0.00030870549495781024	-0.0009913480576747076
to me	21.0	0.00030870549495781024	-0.00020667695915258248
as if	21.0	0.00030870549495781024	0.001168608388750719
. we	21.0	0.00030870549495781024	-0.0009913480576747076
. if	21.0	0.00030870549495781024	-0.0009913480576747076
back to	21.0	0.00030870549495781024	0.002175282906124782
it had	20.0	0.0002940052332931526	0.0005544500994089419
the house	20.0	0.0002940052332931526	-0.0009997736048468291
but i	20.0	0.0002940052332931526	0.0011608262411517557
out ,	20.0	0.0002940052332931526	0.0013963467360117966
he went	20.0	0.0002940052332931526	-9.682683543502976e-05
time ,	20.0	0.0002940052332931526	0.0020591995652440424
, who	20.0	0.0002940052332931526	-0.0009683254348701906
to make	20.0	0.0002940052332931526	-0.0002175300299609944
in my	20.0	0.0002940052332931526	0.00015591143527257637
began to	20.0	0.0002940052332931526	0.0029748597600156015
up and	19.0	0.00027930497162849497	0.0014378894490959155
to have	19.0	0.00027930497162849497	-0.0002273222587635909
for his	19.0	0.00027930497162849497	0.0008144482807247648
. all	19.0	0.00027930497162849497	-0.0009372627764740851
at his	19.0	0.00027930497162849497	0.0008482395795449505
. for	19.0	0.00027930497162849497	-0.0009372627764740851
in an	19.0	0.00027930497162849497	0.00012744713320830128
up to	19.0	0.00027930497162849497	0.0014378894490959155
him and	19.0	0.00027930497162849497	0.0008792795058389255
do you	19.0	0.00027930497162849497	0.002000729868182477
; he	19.0	0.00027930497162849497	0.0015856674040624424
the river	18.0	0.00026460470996383733	-0.0009400169788167796
there were	18.0	0.00026460470996383733	0.001237127389728998
what he	18.0	0.00026460470996383733	0.0013618240784326278
, one	18.0	0.00026460470996383733	-0.0009117136258378047
his eyes	18.0	0.00026460470996383733	0.00025278517262760167
, when	18.0	0.00026460470996383733	-0.0009117136258378047
as they	18.0	0.00026460470996383733	0.0009428182510690156
at him	18.0	0.00026460470996383733	0.0007829555590833003
be a	18.0	0.00026460470996383733	0.0011179425801803292
was to	18.0	0.00026460470996383733	1.1135272567800606e-05
that they	18.0	0.00026460470996383733	0.0005041277428531009
on her	18.0	0.00026460470996383733	0.0006872819080283088
to her	18.0	0.00026460470996383733	-0.00023599776141952847
would not	18.0	0.00026460470996383733	0.0010201048072009061
looked at	18.0	0.00026460470996383733	0.0020759044753427577
but it	18.0	0.00026460470996383733	0.0010045228825819464
when i	18.0	0.00026460470996383733	0.0013375843344219187
. --	18.0	0.00026460470996383733	-0.0009085729887242072
, like	18.0	0.00026460470996383733	-0.0009117136258378047
and they	18.0	0.00026460470996383733	-0.0003583049019431671
get the	18.0	0.00026460470996383733	0.0019687433442994104
, of	18.0	0.00026460470996383733	-0.0009117136258378047
`` and	18.0	0.00026460470996383733	0.0003466828905526681
. on	18.0	0.00026460470996383733	-0.0009085729887242072
i am	18.0	0.00026460470996383733	0.0005902258055095507
. no	18.0	0.00026460470996383733	-0.0009085729887242072
the kitchen	18.0	0.00026460470996383733	-0.0009400169788167796
, you	18.0	0.00026460470996383733	-0.0009117136258378047
about it	17.0	0.00024990444829917975	0.0013261894906032555
a few	17.0	0.00024990444829917975	-0.0001577869718508948
around the	17.0	0.00024990444829917975	0.001959999849039168
this was	17.0	0.00024990444829917975	0.0013054078846357201
had no	17.0	0.00024990444829917975	0.00028161782299623535
the world	17.0	0.00024990444829917975	-0.0009084014739752922
the other	17.0	0.00024990444829917975	-0.0009084014739752922
i have	17.0	0.00024990444829917975	0.0005368278223329089
a good	17.0	0.00024990444829917975	-0.0001577869718508948
the time	17.0	0.00024990444829917975	-0.0009084014739752922
up ,	17.0	0.00024990444829917975	0.0012464318296045945
by a	17.0	0.00024990444829917975	0.0013178048401236138
part of	17.0	0.00024990444829917975	0.002684376582146539
the room	17.0	0.00024990444829917975	-0.0009084014739752922
linda kay	17.0	0.00024990444829917975	0.002990747878625615
where the	16.0	0.0002352041866345221	0.0016707874233524455
into a	16.0	0.0002352041866345221	0.0013256394224527648
, that	16.0	0.0002352041866345221	-0.0008503791836089356
went to	16.0	0.0002352041866345221	0.0017516754051426055
he looked	16.0	0.0002352041866345221	-0.00015318030406080713
the men	16.0	0.0002352041866345221	-0.0008755377195902466
; the	16.0	0.0002352041866345221	0.001276985277435081
the two	16.0	0.0002352041866345221	-0.0008755377195902466
was ,	16.0	0.0002352041866345221	-3.0069051692841783e-05
, there	16.0	0.0002352041866345221	-0.0008503791836089356
he didn't	16.0	0.0002352041866345221	-0.00015318030406080713
and in	16.0	0.0002352041866345221	-0.0003584603179248131
and it	16.0	0.0002352041866345221	-0.0003584603179248131
room ,	16.0	0.0002352041866345221	0.0019052641269500024
her to	16.0	0.0002352041866345221	0.0006291788428905995
a moment	16.0	0.0002352041866345221	-0.00016907701170846084
there ,	16.0	0.0002352041866345221	0.0010597017191171115
there .	16.0	0.0002352041866345221	0.0010597017191171115
no ,	16.0	0.0002352041866345221	0.0012642997524415693
could be	16.0	0.0002352041866345221	0.0012396186387995452
it ''	16.0	0.0002352041866345221	0.00036784124381437027
you ''	16.0	0.0002352041866345221	0.0008881135415155498
, her	16.0	0.0002352041866345221	-0.0008503791836089356
of it	16.0	0.0002352041866345221	-0.00021036931815701732
down to	16.0	0.0002352041866345221	0.0014188866444940767
which was	16.0	0.0002352041866345221	0.0014457144785746357
house ,	16.0	0.0002352041866345221	0.0018435255995501248
time to	16.0	0.0002352041866345221	0.0015716408164824507
. not	16.0	0.0002352041866345221	-0.0008475875061746268
. so	16.0	0.0002352041866345221	-0.0008475875061746268
, it	16.0	0.0002352041866345221	-0.0008503791836089356
no one	15.0	0.00022050392496986447	0.0011647500287940433
as though	15.0	0.00022050392496986447	0.0007276817570023787
, said	15.0	0.00022050392496986447	-0.0008177614737533052
the window	15.0	0.00022050392496986447	-0.0008413476012357842
that it	15.0	0.00022050392496986447	0.0003621063334891165
. one	15.0	0.00022050392496986447	-0.0008151442761586405
himself .	15.0	0.00022050392496986447	0.001707774260458314
here ,	15.0	0.00022050392496986447	0.0016986195724713101
. scotty	15.0	0.00022050392496986447	-0.0008151442761586405
saw the	15.0	0.00022050392496986447	0.0018182658937973006
the whole	15.0	0.00022050392496986447	-0.0008413476012357842
out .	15.0	0.00022050392496986447	0.0009557426544081852
up .	15.0	0.00022050392496986447	0.0010599759019229392
with her	15.0	0.00022050392496986447	0.00046970870226397445
from his	15.0	0.00022050392496986447	0.0009280756938278355
the next	15.0	0.00022050392496986447	-0.0008413476012357842
it is	15.0	0.00022050392496986447	0.0003243201769560441
bobby joe	15.0	0.00022050392496986447	0.002637650097687389
miss ada	15.0	0.00022050392496986447	0.00219664224774766
road ,	15.0	0.00022050392496986447	0.002139627422411039
, we	15.0	0.00022050392496986447	-0.0008177614737533052
the place	15.0	0.00022050392496986447	-0.0008413476012357842
. you	15.0	0.00022050392496986447	-0.0008151442761586405
well ,	15.0	0.00022050392496986447	0.0018637309334721761
. how	14.0	0.00020580366330520683	-0.0007812861306610605
then he	14.0	0.00020580366330520683	0.0012497937510157137
her ,	14.0	0.00020580366330520683	0.0005108844247710124
? the	14.0	0.00020580366330520683	0.0007374522860678438
`` well	14.0	0.00020580366330520683	0.00019502399766539816
will be	14.0	0.00020580366330520683	0.0016974014238909305
for her	14.0	0.00020580366330520683	0.0005094483325380921
to tell	14.0	0.00020580366330520683	-0.0002581720649796436
night .	14.0	0.00020580366330520683	0.0017300972326970243
him a	14.0	0.00020580366330520683	0.0005572187089380002
the last	14.0	0.00020580366330520683	-0.000805742567399728
the most	14.0	0.00020580366330520683	-0.000805742567399728
you know	14.0	0.00020580366330520683	0.0007374522860678438
of this	14.0	0.00020580366330520683	-0.00022372021614565235
the stairs	14.0	0.00020580366330520683	-0.000805742567399728
-- and	14.0	0.00020580366330520683	0.0010173945514563994
the night	14.0	0.00020580366330520683	-0.000805742567399728
. her	14.0	0.00020580366330520683	-0.0007812861306610605
like the	14.0	0.00020580366330520683	0.0011083708343591445
all right	14.0	0.00020580366330520683	0.0009153457704547181
, if	14.0	0.00020580366330520683	-0.0007837288484160808
before the	14.0	0.00020580366330520683	0.0014495989896122325
. as	14.0	0.00020580366330520683	-0.0007812861306610605
could see	14.0	0.00020580366330520683	0.0010450192461913398
such a	14.0	0.00020580366330520683	0.002109008750501344
, some	14.0	0.00020580366330520683	-0.0007837288484160808
his mind	13.0	0.0001911034016405492	9.284683446089442e-05
the figure	13.0	0.0001911034016405492	-0.0007686213860267143
the front	13.0	0.0001911034016405492	-0.0007686213860267143
as she	13.0	0.0001911034016405492	0.0005912040577796935
to their	13.0	0.0001911034016405492	-0.0002601630623509218
which had	13.0	0.0001911034016405492	0.0011173960249822525
her .	13.0	0.0001911034016405492	0.00045396082098897315
was still	13.0	0.0001911034016405492	-8.167809336007298e-05
again ,	13.0	0.0001911034016405492	0.0014326834978527672
all .	13.0	0.0001911034016405492	0.000829532070552414
and was	13.0	0.0001911034016405492	-0.00034849599717354967
the mission	13.0	0.0001911034016405492	-0.0007686213860267143
had come	13.0	0.0001911034016405492	0.00014139337048092436
end of	13.0	0.0001911034016405492	0.0020965635650082868
at all	13.0	0.0001911034016405492	0.0004757476691233435
trying to	13.0	0.0001911034016405492	0.0021815634614412334
not a	13.0	0.0001911034016405492	0.00060507668530149
man ,	13.0	0.0001911034016405492	0.0011735198026049417
and had	13.0	0.0001911034016405492	-0.00034849599717354967
, winston	13.0	0.0001911034016405492	-0.0007481800755418992
. winston	13.0	0.0001911034016405492	-0.0007459118376265232
don't know	13.0	0.0001911034016405492	0.001473547216163844
the city	13.0	0.0001911034016405492	-0.0007686213860267143
`` no	13.0	0.0001911034016405492	0.00016066185296233128
. mrs.	13.0	0.0001911034016405492	-0.0007459118376265232
had never	13.0	0.0001911034016405492	0.00014139337048092436
then ,	13.0	0.0001911034016405492	0.0011400909096447671
of my	13.0	0.0001911034016405492	-0.0002281720598622156
if you	13.0	0.0001911034016405492	0.0010998895431967404
that ,	13.0	0.0001911034016405492	0.0002743720240681995
as it	13.0	0.0001911034016405492	0.0005912040577796935
now .	13.0	0.0001911034016405492	0.0010913404128827455
! ``	13.0	0.0001911034016405492	0.000660448372069205
, on	13.0	0.0001911034016405492	-0.0007481800755418992
so that	13.0	0.0001911034016405492	0.0010705300994058133
out the	12.0	0.00017640313997589158	0.0007078049967419608
old man	12.0	0.00017640313997589158	0.0012215717988231485
we were	12.0	0.00017640313997589158	0.0010363163806911082
a new	12.0	0.00017640313997589158	-0.0002000216768618755
for him	12.0	0.00017640313997589158	0.0003974392778877738
in their	12.0	0.00017640313997589158	-3.645618370157152e-05
her eyes	12.0	0.00017640313997589158	0.00039867021408741983
kind of	12.0	0.00017640313997589158	0.002022473511709778
that would	12.0	0.00017640313997589158	0.00023289594000670575
the audience	12.0	0.00017640313997589158	-0.0007298672077732149
! the	12.0	0.00017640313997589158	0.0005892741073922492
? she	12.0	0.00017640313997589158	0.0005928712380561324
, though	12.0	0.00017640313997589158	-0.0007109983057872317
his arm	12.0	0.00017640313997589158	6.533422652303948e-05
all ,	12.0	0.00017640313997589158	0.0007453513675305959
his life	12.0	0.00017640313997589158	6.533422652303948e-05
. with	12.0	0.00017640313997589158	-0.0007089045477114999
yes ,	12.0	0.00017640313997589158	0.0019397526977961489
a big	12.0	0.00017640313997589158	-0.0002000216768618755
`` i'm	12.0	0.00017640313997589158	0.00012793270513975042
but they	12.0	0.00017640313997589158	0.0005664926998259361
with him	12.0	0.00017640313997589158	0.0003189778350265921
simms purdew	12.0	0.00017640313997589158	0.002199758787526384
right .	12.0	0.00017640313997589158	0.0015384343111498897
room .	12.0	0.00017640313997589158	0.001355734177131972
of course	12.0	0.00017640313997589158	-0.0002309909066982929
way to	12.0	0.00017640313997589158	0.001355734177131972
i didn't	12.0	0.00017640313997589158	0.0002902946484443389
had had	12.0	0.00017640313997589158	0.00011014641361845168
me .	12.0	0.00017640313997589158	0.0009603257770047464
if i	12.0	0.00017640313997589158	0.0009949121115099744
front of	12.0	0.00017640313997589158	0.0017166845007540133
had the	12.0	0.00017640313997589158	0.00011014641361845168
enough to	12.0	0.00017640313997589158	0.001669667231757995
side of	12.0	0.00017640313997589158	0.0018469525075746002
on ,	12.0	0.00017640313997589158	0.00035499871679017754
was an	12.0	0.00017640313997589158	-9.576570685016124e-05
i think	12.0	0.00017640313997589158	0.0002902946484443389
when they	12.0	0.00017640313997589158	0.000788533667719251
was that	12.0	0.00017640313997589158	-9.576570685016124e-05
to hear	12.0	0.00017640313997589158	-0.00026052106284171403
) ,	12.0	0.00017640313997589158	0.0018686150053245701
the end	12.0	0.00017640313997589158	-0.0007298672077732149
mr. jack	12.0	0.00017640313997589158	0.001599832976286766
see the	12.0	0.00017640313997589158	0.001389122660642891
the street	12.0	0.00017640313997589158	-0.0007298672077732149
had seen	12.0	0.00017640313997589158	0.00011014641361845168
with an	12.0	0.00017640313997589158	0.0003189778350265921
`` oh	12.0	0.00017640313997589158	0.00012793270513975042
was one	12.0	0.00017640313997589158	-9.576570685016124e-05
the big	12.0	0.00017640313997589158	-0.0007298672077732149
that .	12.0	0.00017640313997589158	0.00023289594000670575
most of	12.0	0.00017640313997589158	0.0016405740637838772
church ,	12.0	0.00017640313997589158	0.0014156847847616354
came to	12.0	0.00017640313997589158	0.0011685652534738013
must be	12.0	0.00017640313997589158	0.0014248560575807145
big hans	12.0	0.00017640313997589158	0.0014534051401257065
same time	12.0	0.00017640313997589158	0.0014632887879672716
you could	12.0	0.00017640313997589158	0.0005928712380561324
`` how	12.0	0.00017640313997589158	0.00012793270513975042
i would	12.0	0.00017640313997589158	0.0002902946484443389
in that	12.0	0.00017640313997589158	-3.645618370157152e-05
, no	12.0	0.00017640313997589158	-0.0007109983057872317
. to	12.0	0.00017640313997589158	-0.0007089045477114999
, at	12.0	0.00017640313997589158	-0.0007109983057872317
his hand	11.0	0.00016170287831123394	3.959100269621138e-05
toward the	11.0	0.00016170287831123394	0.001692598383264281
to say	11.0	0.00016170287831123394	-0.00025910967922147923
or the	11.0	0.00016170287831123394	0.0007511427931258979
men were	11.0	0.00016170287831123394	0.0011537194654665846
he told	11.0	0.00016170287831123394	-0.00019272292223219872
; and	11.0	0.00016170287831123394	0.0007905159150462243
day ,	11.0	0.00016170287831123394	0.0013031019118101886
know what	11.0	0.00016170287831123394	0.0011228091000238262
top of	11.0	0.00016170287831123394	0.0018336353474507217
`` i've	11.0	0.00016170287831123394	9.697294142819643e-05
her head	11.0	0.00016170287831123394	0.0003451489912968934
and her	11.0	0.00016170287831123394	-0.00033385293176370286
. from	11.0	0.00016170287831123394	-0.0006701278736854496
to find	11.0	0.00016170287831123394	-0.00025910967922147923
their own	11.0	0.00016170287831123394	0.0007704141528762228
a long	11.0	0.00016170287831123394	-0.00020365190873996065
then the	11.0	0.00016170287831123394	0.0009257206047748731
here .	11.0	0.00016170287831123394	0.0011732989486431806
full of	11.0	0.00016170287831123394	0.0019242238609931933
the only	11.0	0.00016170287831123394	-0.0006893436454086884
. after	11.0	0.00016170287831123394	-0.0006701278736854496
they would	11.0	0.00016170287831123394	0.00047450454268474794
had gone	11.0	0.00016170287831123394	8.066884086700597e-05
'' --	11.0	0.00016170287831123394	0.00010030326164375264
before ,	11.0	0.00016170287831123394	0.0010827104351007091
days .	11.0	0.00016170287831123394	0.0014967047052656486
told him	11.0	0.00016170287831123394	0.0013493353370376744
near the	11.0	0.00016170287831123394	0.001692598383264281
man .	11.0	0.00016170287831123394	0.0009540065911257898
to think	11.0	0.00016170287831123394	-0.00025910967922147923
to keep	11.0	0.00016170287831123394	-0.00025910967922147923
away .	11.0	0.00016170287831123394	0.0012858193478324136
him ''	11.0	0.00016170287831123394	0.0003815545002852409
still ,	11.0	0.00016170287831123394	0.0012224576240877328
at a	11.0	0.00016170287831123394	0.0003635840166413606
the dark	11.0	0.00016170287831123394	-0.0006893436454086884
home .	11.0	0.00016170287831123394	0.0013119893401653225
they are	11.0	0.00016170287831123394	0.00047450454268474794
? i	11.0	0.00016170287831123394	0.0005231665966015466
, too	11.0	0.00016170287831123394	-0.000672047151921537
and there	11.0	0.00016170287831123394	-0.00033385293176370286
him in	11.0	0.00016170287831123394	0.0003815545002852409
me ''	11.0	0.00016170287831123394	0.0008599999239711093
in this	11.0	0.00016170287831123394	-5.371687334301535e-05
sort of	11.0	0.00016170287831123394	0.0018920334511775333
i know	11.0	0.00016170287831123394	0.00024580472279073587
at her	11.0	0.00016170287831123394	0.0003635840166413606
`` he	11.0	0.00016170287831123394	9.697294142819643e-05
water ,	11.0	0.00016170287831123394	0.0014344021780740937
and when	11.0	0.00016170287831123394	-0.00033385293176370286
of an	11.0	0.00016170287831123394	-0.00023204036942334324
been a	11.0	0.00016170287831123394	0.0007964220177222602
he must	11.0	0.00016170287831123394	-0.00019272292223219872
used to	11.0	0.00016170287831123394	0.001781740148728889
the ground	11.0	0.00016170287831123394	-0.0006893436454086884
off the	11.0	0.00016170287831123394	0.0012151098205567027
go to	11.0	0.00016170287831123394	0.00114737139636835
head .	11.0	0.00016170287831123394	0.0012943806133771496
to come	11.0	0.00016170287831123394	-0.00025910967922147923
the water	11.0	0.00016170287831123394	-0.0006893436454086884
, would	11.0	0.00016170287831123394	-0.000672047151921537
; but	11.0	0.00016170287831123394	0.0007905159150462243
wanted to	11.0	0.00016170287831123394	0.0017578079346965616
`` the	11.0	0.00016170287831123394	9.697294142819643e-05
what was	10.0	0.0001470026166465763	0.0006319111682907911
that his	10.0	0.0001470026166465763	0.00015541320407994288
face .	10.0	0.0001470026166465763	0.001126186244285399
was going	10.0	0.0001470026166465763	-0.00011847150163411287
door .	10.0	0.0001470026166465763	0.0012153851221997065
this ,	10.0	0.0001470026166465763	0.0006553513801129573
